Beruf,User,Upload
Irgendwas mit Stahl,dirk320d,http://pr0gramm.com/new/258209
Anwalt,Steak,http://pr0gramm.com/new/259921
ÖD/Bezahltes Scheissen,ql,http://pr0gramm.com/new/260092
Irgendwas mit Offshoreparks,Rapeligious,http://pr0gramm.com/new/260726
Irgendwas mit Elektronik,a10,http://pr0gramm.com/new/261533
Flugzeugherstellung/Airbus-Hausmeister,exedy,http://pr0gramm.com/new/262308
CNC-Typ,fxy0,http://pr0gramm.com/new/263799
Landwirt/Kuhmelker,Paveway,http://pr0gramm.com/new/264185
Irgendwas mit Elektronik,charlie2g,http://pr0gramm.com/new/264577
OC-Fanatiker,cekay,http://pr0gramm.com/new/264640
Professioneller Auf-Skyline-Hinausschauer,Tupperschuessel,http://pr0gramm.com/new/265050
"""Ewige Jungfrau von Jerusalem""",Arokan1337,http://pr0gramm.com/new/266203
Glashersteller,noksu,http://pr0gramm.com/new/266348
C#-Programmierer,kekslieb,http://pr0gramm.com/new/266511
Bier-Abfüller,ElDo,http://pr0gramm.com/new/266987
Bio-Laborant,HarryHaller,http://pr0gramm.com/new/267320
Irgendwas mit Metall,wuschelpuschel,http://pr0gramm.com/new/267388
pr0board-Hersteller,stoertebeker,http://pr0gramm.com/new/268162
Elektroniker,DevouringOne,http://pr0gramm.com/new/268379
Briefträger,lennimon,http://pr0gramm.com/new/268425
Laborant,GGGuenni,http://pr0gramm.com/new/268766
Lackierer/Folienbekleber,Bbex,http://pr0gramm.com/new/269103
Telco-Typ/Techniker,1qay2wsx,http://pr0gramm.com/new/269073
Industriekletterer,4Buchstaben,http://pr0gramm.com/new/269331
Bauarbeiter,Spir,http://pr0gramm.com/new/269342
Arzt/CT-Scan-Typ oder so,OctoDoofbert,http://pr0gramm.com/new/269463
Pedo,alpifresh,http://pr0gramm.com/new/269545
Kindergärtner,Aeslon,http://pr0gramm.com/new/269676
Landwirt,BalckBanshee,http://pr0gramm.com/new/269581
Bowlingbahn-Hausmeister,Wieande,http://pr0gramm.com/new/269697
Professioneller Polierer,Toshibaer,http://pr0gramm.com/new/270157
Solarzellenmonteur,Tupperware,http://pr0gramm.com/new/270365
Schweißer/SChlosser oder so,Fuckjacked,http://pr0gramm.com/new/270704
Tätowierer,vougel,http://pr0gramm.com/new/270813
Dämonenjäger/Kanalarbeiter,Dyfcom,http://pr0gramm.com/new/270876
Triebfahrzeugführer,darky4u,http://pr0gramm.com/new/270904
Tätowierer,filthy,http://pr0gramm.com/new/271092
KFC-Bedienung,boxxxer,http://pr0gramm.com/new/270983
Irgendwas mit Schmelzofen,Nintendo64,http://pr0gramm.com/new/271096
Kindergärtner(in?),Elbjosh,http://pr0gramm.com/new/271124
Kioskverkäufer,ziglery,http://pr0gramm.com/new/271257
Irgendwas mit Blech und Metall,einskrautwurst,http://pr0gramm.com/new/271617
Koch,KyleReese,http://pr0gramm.com/new/271598
Kino-Typ,peezy,http://pr0gramm.com/new/271608
Klebefolientyp,LehL,http://pr0gramm.com/new/271667
Jäger/Förster,comatmebro,http://pr0gramm.com/new/271673
Pizza-Bote/Bäcker,Kl1337oris,http://pr0gramm.com/new/271681
Metall-Rundkratzer,DerDave,http://pr0gramm.com/new/271712
Eindrecher,Castorius,http://pr0gramm.com/new/271767
Redbull-Dosen-Macher,Wolle,http://pr0gramm.com/new/271741
Gamescom-Kameramann,Internetuser,http://pr0gramm.com/new/271727
Optiker,Potenzgo,http://pr0gramm.com/new/272057
Kraftwerksarbeiter(?),Stahlslint,http://pr0gramm.com/new/272059
Irgendwas mit Blut,Bumsklumpen,http://pr0gramm.com/new/272103
Lagerarbeiter,Oldbone,http://pr0gramm.com/new/272212
Musikinstrumentverkäufer,TheSyringe,http://pr0gramm.com/new/272300
Systemintegrator,ERTOP,http://pr0gramm.com/new/272365
Robotertyp aus der Industrie,schniepelus,http://pr0gramm.com/new/272373
Burgerbrater bei Bürgerking,KevinDieSeegurke,http://pr0gramm.com/new/272443
Maler,hs22,http://pr0gramm.com/new/272608
Mechaniker,METKREBS,http://pr0gramm.com/new/272635
Steinmetz,beNe,http://pr0gramm.com/new/272676
Arbeitslos,FridayThe13,http://pr0gramm.com/new/272699
Typ im Tonstudio,LordBoner101,http://pr0gramm.com/new/272698
Pfandsammler,geistigabwesend,http://pr0gramm.com/new/272873
Zeichner oder so,PetyrBaelish,http://pr0gramm.com/new/272900
Uhrenmacher,Winters,http://pr0gramm.com/new/272927
Gefängniswärter,KofferTabak,http://pr0gramm.com/new/272950
Legoverkäufer,po,http://pr0gramm.com/new/272974
Gärtner oder Landschaftspfleger,BritishJesus,http://pr0gramm.com/new/273044
Sanitäter,affschmecker,http://pr0gramm.com/new/273150
Schlosser oder so,Hausi,http://pr0gramm.com/new/273104
Typ mit Plasmaschneider,peterpaul,http://pr0gramm.com/new/273544
Zeichner/Tatootyp,oiLIZARD,http://pr0gramm.com/new/273701
Bäcker,waro,http://pr0gramm.com/new/273936
Fliesenleger,Blwjb,http://pr0gramm.com/new/274269
Dachdecker mit Bruchware,Beleidigung,http://pr0gramm.com/new/274322
Zugführer,Realstar,http://pr0gramm.com/new/274477
Wasserstrahlschneider,Retsamemag,http://pr0gramm.com/new/274605
Kino-Typ,V5iky,http://pr0gramm.com/new/274770
Törtchenbeckerin,BrinaVagina,http://pr0gramm.com/new/274839
Grillmeister,Disorder,http://pr0gramm.com/new/274816
Metzger,zxcvbn,http://pr0gramm.com/new/274937
Laborant,Bukake,http://pr0gramm.com/new/274804
Schutzbrille tragen-Typ,Lokisrevenge,http://pr0gramm.com/new/275052
Zugführer,Linse,http://pr0gramm.com/new/275100
Eismann,hansmeier1234,http://pr0gramm.com/new/275081
Abfüll-Anlagenarbeiter,n1ck,http://pr0gramm.com/new/275140
RTW-Fahrer,Pussyslayer420,http://pr0gramm.com/new/275132
DJ,eulerich,http://pr0gramm.com/new/275305
Polizist,Sefy,http://pr0gramm.com/new/275228
